daycount	shift	partnum	y300
1	1	3	6.9
1	1	4	7.9
1	1	7	4.7
1	1	14	7.9
1	1	19	5.1
1	1	21	6.7
1	1	28	1.1
1	1	29	5.5
1	1	40	0.2
1	1	42	-0.4
1	1	44	4.8
1	1	47	8.2
1	1	49	8.4
1	1	52	6.4
1	1	53	4.9
1	1	58	6.3
1	1	70	5.9
1	1	83	4.7
1	1	85	7.6
1	1	90	1.9
1	1	92	5.7
1	1	97	3.5
1	1	98	4.7
1	1	104	5.7
1	1	106	7.6
1	1	108	8
1	1	111	3.6
1	1	112	6.7
1	1	113	3.1
1	1	114	9.7
1	1	117	6.8
1	1	119	9.1
1	1	123	0.6
1	1	130	4.3
1	1	132	1.7
1	1	137	4.8
1	1	140	8.4
1	1	151	4.1
1	1	153	3.7
1	1	154	5.6
1	1	160	8.2
1	1	168	7
1	1	171	8.6
1	1	172	6.1
1	1	175	4.8
1	1	177	5.3
1	1	179	8.5
1	1	180	4
1	1	182	4.8
1	1	185	5.9
1	1	188	9.8
1	1	190	11.1
1	1	195	7.6
1	1	198	6.6
1	1	199	5
1	1	209	8.9
1	1	210	13.1
1	1	211	3.7
1	1	214	12.5
1	1	219	9.4
1	1	226	7.4
1	1	230	14.4
1	1	232	6
1	1	236	6.9
