daycount	shift	minute	partnum	y300
6	3	8161	6780	-12.6
6	3	8162	6780	-11.1
6	3	8163	6780	-15.9
6	3	8164	6780	-12.25
6	3	8165	6780	-12.85
6	3	8166	6780	-14.8
6	3	8167	6780	-13.75
6	3	8168	6780	-12.85
6	3	8161	5823	16.45
6	3	8162	5823	15.5
6	3	8163	5823	10.65
6	3	8164	5823	15.8
6	3	8165	5823	13.1
6	3	8166	5823	12.15
6	3	8167	5823	13.1
6	3	8168	5823	12
6	3	8161	1022	2.35
6	3	8162	1022	4.25
6	3	8163	1022	4.15
6	3	8164	1022	4.2
6	3	8165	1022	3.3
6	3	8166	1022	1.1
6	3	8167	1022	3.35
6	3	8168	1022	4.45
