daycount	shift	partnum	y200	x31
8	1	10081	-4.6	1
8	1	10082	-9.25	1
8	1	10083	-2.05	2
8	1	10084	-7.9	3
8	1	10085	-4.2	3
8	1	10141	0.75	1
8	1	10142	0.7	2
8	1	10143	-0.65	1
8	1	10144	-5.1	3
8	1	10145	-3.55	3
8	1	10201	0.4	3
8	1	10202	-7	1
8	1	10203	-4.15	2
8	1	10204	-5.55	2
8	1	10205	-0.4	1
8	1	10261	1.85	3
8	1	10262	5.8	1
8	1	10263	5.5	2
8	1	10264	-1.65	1
8	1	10265	-1.35	2
8	1	10321	6.15	1
8	1	10322	-0.95	2
8	1	10323	5.4	2
8	1	10324	4.45	3
8	1	10325	3.95	1
8	1	10381	3.4	1
8	1	10382	0.55	3
8	1	10383	2.5	2
8	1	10384	6	3
8	1	10385	0.55	2
8	1	10441	-0.65	1
8	1	10442	-0.8	2
8	1	10443	-1.9	3
8	1	10444	-11.65	2
8	1	10445	-2.95	1
8	1	10501	-3.1	1
8	1	10502	-4.25	3
8	1	10503	-8.4	3
8	1	10504	-7.1	2
8	1	10505	-2.7	1
8	2	10561	-5.8	1
8	2	10562	-8.25	2
8	2	10563	-5.15	3
8	2	10564	-5.15	3
8	2	10565	-2.55	3
8	2	10621	-4.2	1
8	2	10622	-6.3	2
8	2	10623	-3.65	3
8	2	10624	-3.8	1
8	2	10625	-3.15	2
