daycount	shift	partnum	y200	x31
9	2	12001	-9.1	2
9	2	12002	-7.7	3
9	2	12003	-5.6	3
9	2	12004	-4.3	1
9	2	12005	-4.3	3
9	2	12006	-4.25	1
9	2	12007	-4.75	1
9	2	12008	-5.75	2
9	2	12009	-7.05	1
9	2	12010	-2.2	3
9	2	12011	-8.6	2
9	2	12012	-2.25	2
9	2	12121	2.1	1
9	2	12122	-0.15	2
9	2	12123	-0.95	3
9	2	12124	-3.65	3
9	2	12125	3.35	2
9	2	12126	-2.95	3
9	2	12127	7.1	2
9	2	12128	-2.7	1
9	2	12129	-3.45	1
9	2	12130	-1.1	1
9	2	12131	-1.8	3
9	2	12132	2.25	2
9	2	12241	6.65	3
9	2	12242	4.95	3
9	2	12243	2.3	2
9	2	12244	-1.55	1
9	2	12245	8	2
9	2	12246	4.55	1
9	2	12247	1	3
9	2	12248	2.3	2
9	2	12249	4.95	3
9	2	12250	-0.05	2
9	2	12251	3.45	1
9	2	12252	-1.35	1
9	2	12361	2.8	2
9	2	12362	-0.4	1
9	2	12363	1.95	3
9	2	12364	-1.15	3
9	2	12365	1.45	1
9	2	12366	4.7	2
9	2	12367	0.25	2
9	2	12368	4.6	1
9	2	12369	3.05	2
9	2	12370	2.05	3
9	2	12371	-0.35	3
9	2	12372	5.5	1
9	3	12481	-1.65	2
9	3	12482	-2	1
9	3	12483	0.75	3
9	3	12484	-0.2	3
9	3	12485	-1.7	2
9	3	12486	-6.4	1
9	3	12487	-7.25	1
9	3	12488	-2.5	2
9	3	12489	0.35	1
9	3	12490	-5.75	3
9	3	12491	-4.15	3
9	3	12492	-9.3	2
9	3	12601	-6.05	1
9	3	12602	-2.5	3
9	3	12603	-2.1	3
9	3	12604	-7.4	2
9	3	12605	-9.85	3
9	3	12606	-8.25	1
9	3	12607	-4.1	2
9	3	12608	-5.35	1
9	3	12609	-7.55	1
9	3	12610	-8.25	3
9	3	12611	-7.2	2
9	3	12612	-4.15	2
