daycount	shift	partnum	y300
1	2	483	0.1
1	2	484	1.9
1	2	487	-3.4
1	2	494	0.8
1	2	499	-3.4
1	2	501	-3.9
1	2	508	-3.7
1	2	509	-1.4
1	2	520	-6.1
1	2	522	-7.6
1	2	524	-5.1
1	2	527	-0.1
1	2	529	-2
1	2	532	-0.4
1	2	533	-3.4
1	2	538	-3.4
1	2	550	-2.4
1	2	563	-1.5
1	2	565	-2.4
1	2	570	-7
1	2	572	-0.9
1	2	577	-5.5
1	2	578	-4.1
1	2	584	-1.4
1	2	586	-0.6
1	2	588	-1.2
1	2	591	-5.1
1	2	592	-0.3
1	2	593	-5.3
1	2	594	1.7
1	2	597	-4.8
1	2	599	-1.1
1	2	603	-3.2
1	2	610	0.2
1	2	612	-4.5
1	2	617	-3.8
1	2	620	-3.5
1	2	631	-6.8
1	2	633	-6.8
1	2	634	-4.4
1	2	640	-1.9
1	2	648	-1.2
1	2	651	-0.7
1	2	652	-2.1
1	2	655	-0.3
1	2	657	-2.8
1	2	659	1.3
1	2	660	-2.8
1	2	662	-4
1	2	665	1.4
1	2	668	1.4
1	2	670	-0.2
1	2	675	-0.1
1	2	678	-1.5
1	2	679	-4.6
1	2	689	0.9
1	2	690	4.4
1	2	691	-3.5
1	2	694	3.3
1	2	699	-0.6
1	2	706	-0.3
1	2	710	6
1	2	712	-3.7
1	2	716	-2.9
